"Timestamp","This process will not discriminate based on age, experience level, or anything other than scheduling requirements. It is highly reccomended that users under 18 do not participate in this iteration of the groupfinder. (Don't worry we're working on improving the match system)

These groups are english speaking, online, microphone required, weekly-recurring groups. If this is not what you're looking for, don't worry, we haven't forgot about you. Keep an eye out for the next iteration of this service.

Your email address will not be stored or used for anything whatsoever. It's just a google forms requirement to sign in.


Have you read and understood the terms and conditions above?","What is your discord name? Make sure you include the numbers (#0000)","What day of the week do you want your group to meet?","What time do you want to play on that day?

(IMPORTANT!: Please convert the start time to Eastern Standard time, EST)

AND

(Round your start time to the nearest acceptable whole hour. ex. 4:45 becomes 5:00)

https://www.google.com/search?q=what+time+is+it+in+est&rlz=1C1CHBF_enUS1039US1040&oq=What+time+is+it+in+est&aqs=chrome.0.0i512l10.6439j0j7&sourceid=chrome&ie=UTF-8"
"2023/04/12 3:37:31 PM MDT","Yes","ke#4599","Monday","16:00"
"2023/04/15 1:45:34 PM MDT","Yes","snow#1824","Sunday","10:30"
"2023/04/15 3:31:13 PM MDT","Yes","Dude#0000","Wednesday","23:20"
"2023/04/15 10:00:14 PM MDT","Yes","bob#0001","Thursday","05:00"
"2023/04/15 10:02:24 PM MDT","Yes","Critter#0646","Tuesday","18:00"
"2023/04/15 10:04:10 PM MDT","Yes","rober#3901","Wednesday","06:00"
"2023/04/15 10:04:22 PM MDT","Yes","yes#4392","Saturday","18:00"
"2023/04/15 10:04:42 PM MDT","Yes","woah#5242","Tuesday","03:00"
"2023/04/15 10:04:50 PM MDT","Yes","smith#0001","Wednesday","03:00"
"2023/04/15 10:05:07 PM MDT","Yes","alpaca#4693","Monday","08:00"
"2023/04/15 10:05:28 PM MDT","Yes","twentyone#8952","Tuesday","18:00"
"2023/04/15 10:05:29 PM MDT","Yes","dude#0015","Thursday","08:00"
"2023/04/15 10:05:54 PM MDT","Yes","Dwarf#6974","Wednesday","07:00"
"2023/04/15 10:06:47 PM MDT","Yes","seventy#5032","Monday","05:00"
"2023/04/15 10:07:06 PM MDT","Yes","fourty#6954","Tuesday","18:00"
"2023/04/15 10:07:29 PM MDT","Yes","ohjeez#6593","Friday","03:00"
"2023/04/15 10:07:47 PM MDT","Yes","lol#6594","Sunday","06:00"
"2023/04/15 10:08:07 PM MDT","Yes","krazy#2952","Thursday","19:00"
"2023/04/15 10:08:26 PM MDT","Yes","goon#5429","Tuesday","18:00"
"2023/04/15 10:08:33 PM MDT","Yes","homie#8945","Monday","18:00"
"2023/04/15 10:08:44 PM MDT","Yes","james#3259","Monday","02:00"
"2023/04/15 10:08:57 PM MDT","Yes","lenonard#4567","Monday","18:00"
"2023/04/15 10:12:29 PM MDT","Yes","biggie#4567","Monday","18:00"
"2023/04/15 10:16:44 PM MDT","Yes","Dos#4344","Wednesday","16:00"
"2023/04/15 10:23:46 PM MDT","Yes","Tree#7878","Wednesday","17:00"
"2023/04/15 10:08:26 PM MDT","Yes","gon#5409","Tuesday","18:00"
"2023/04/15 10:08:33 PM MDT","Yes","hoie#8912","Monday","18:00"
"2023/04/15 10:08:44 PM MDT","Yes","jaes#0009","Monday","02:00"
"2023/04/15 10:08:57 PM MDT","Yes","len#0007","Monday","18:00"
"2023/04/15 10:12:29 PM MDT","Yes","snoopie#4567","Monday","18:00"
"2023/04/15 10:16:44 PM MDT","Yes","crazyguy#4344","Wednesday","16:00"
"2023/04/15 10:23:46 PM MDT","Yes","redwoods#7878","Wednesday","17:00"
